"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,5.4,,
"GRC","Greece","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,28.5,,
"NZL","New Zealand","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,47.3,,
"AUS","Australia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,4.4,,
"ESP","Spain","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,37.8,,
"NZL","New Zealand","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,48,,
"AUT","Austria","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,48.8,,
"ESP","Spain","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,14.7,,
"SWE","Sweden","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,7,,
"DEU","Germany","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,50,"E","Estimated value"
"DNK","Denmark","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,73.6,,
"ISL","Iceland","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,83.6,"E","Estimated value"
"FIN","Finland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,7.5,,
"ZAF","South Africa","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,23.1,,
"POL","Poland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,8.9,,
"GRC","Greece","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,5.9,,
"TUR","Türkiye","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,9.4,,
"EST","Estonia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,24.6,,
"PRT","Portugal","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,27.1,,
"CZE","Czechia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,18.4,,
"TUR","Türkiye","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,20.2,,
"NLD","Netherlands","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,90.5,,
"ISR","Israel","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,77.3,,
"SVK","Slovak Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,9.3,,
"SVN","Slovenia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,15.3,"u","Low reliability"
"ISR","Israel","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,24.5,,
"EST","Estonia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,17.2,,
"POL","Poland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,6.6,,
"HUN","Hungary","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,11.7,,
"NLD","Netherlands","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,6.9,,
"SWE","Sweden","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,25.7,,
"DEU","Germany","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,44.5,"E","Estimated value"
"MEX","Mexico","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,34,,
"ITA","Italy","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,58.6,,
"FRA","France","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,77.8,,
"NZL","New Zealand","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,15.4,,
"CZE","Czechia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,29.5,,
"HUN","Hungary","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,19.7,,
"HUN","Hungary","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,78.4,,
"DEU","Germany","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,7.2,"E","Estimated value"
"GRC","Greece","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,41.7,,
"SVN","Slovenia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,13.7,"u","Low reliability"
"CHL","Chile","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,57,,
"NLD","Netherlands","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,3.6,,
"TUR","Türkiye","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,22.1,,
"BEL","Belgium","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,74.8,,
"ISR","Israel","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,4.9,,
"IRL","Ireland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,6.9,,
"ISL","Iceland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,19,,
"MEX","Mexico","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,43.4,,
"DEU","Germany","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,10.2,"E","Estimated value"
"TUR","Türkiye","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,10.5,,
"AUT","Austria","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,10.4,,
"LUX","Luxembourg","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,56.7,,
"CZE","Czechia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,29.6,,
"MEX","Mexico","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,42.2,,
"NZL","New Zealand","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,78.7,,
"AUS","Australia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,11.6,,
"CZE","Czechia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,7,,
"DEU","Germany","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,9.2,"E","Estimated value"
"ITA","Italy","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,47,,
"EST","Estonia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,22,,
"FRA","France","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,43,,
"SVN","Slovenia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,7.5,,
"DEU","Germany","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,5.4,"E","Estimated value"
"ISR","Israel","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,78.6,,
"NLD","Netherlands","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,5.8,,
"GBR","United Kingdom","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,51.5,,
"NZL","New Zealand","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,6.7,,
"PRT","Portugal","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,30.3,,
"SVK","Slovak Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,12.1,,
"ISL","Iceland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,9.1,,
"GRC","Greece","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,16.2,,
"IRL","Ireland","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,56.9,,
"LUX","Luxembourg","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,91.4,,
"POL","Poland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,24.3,,
"PRT","Portugal","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,8.6,,
"FIN","Finland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,6.4,,
"NZL","New Zealand","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,6.4,,
"CHE","Switzerland","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,77.8,,
"CAN","Canada","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,58.5,,
"GBR","United Kingdom","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,85.3,,
"FRA","France","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,25.9,,
"DNK","Denmark","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,17.4,,
"POL","Poland","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,51.4,,
"HUN","Hungary","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,20.5,,
"SVN","Slovenia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,3.2,"u","Low reliability"
"SVK","Slovak Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,35.4,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,30.5,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,38.5,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,61.3,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,50.6,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,89.9,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,77.4,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,41,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,50.4,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,51.1,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,30.1,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,61.1,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,61.1,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,76.7,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,76.5,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,77,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,89.6,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,50.5,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,40.2,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,50.7,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,30.3,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,49.1,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,76.7,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,75.4,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,40,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,89.8,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,61.8,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,77.1,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,89.8,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,76.5,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,31.1,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,51.2,,
"COL","Colombia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,48.1,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,25.4,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,25.7,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,26.8,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,28.2,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,24.1,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,24.8,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,26.7,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,21.4,,
"LVA","Latvia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,44.5,,
"LVA","Latvia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,38.3,,
"LVA","Latvia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,36.5,,
"LVA","Latvia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,28.4,,
"LVA","Latvia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,35.2,,
"LVA","Latvia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,32.1,,
"LVA","Latvia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,33.9,,
"LVA","Latvia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,38,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,55.1,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,56.8,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,58.9,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,59.6,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,58.8,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,58.3,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,59.4,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,58.6,,
"LVA","Latvia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,26.8,,
"LVA","Latvia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,24.2,,
"LVA","Latvia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,21.7,,
"LVA","Latvia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,20.1,,
"LVA","Latvia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,16.2,,
"LVA","Latvia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,17.6,,
"LVA","Latvia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,16.7,,
"LVA","Latvia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,16.6,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,69.1,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,70.2,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,72.2,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,73.8,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,73,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,71.9,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,73.9,,
"LVA","Latvia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,74.1,,
